Entry ID,Date start (dd),Date start (mm),Date start (yyyy),Season start,Date end (dd),Date end (mm),Date end (yyyy),Season end,Text,Reference,Country,NUTS1,NUTS2,NUTS3,Location,DPSIR,Sector,Water Company,Water Company 2018,WR typology,WR typology sub-category
23,1,6,1898,Summer,31,10,1898,Autumn,,"Shadwell, A (1899) The London Water Supply",England,UKI,UKI4,UKI41,Lea Valley,PIR,Water Resources,,Essex & Suffolk Water,Supply,
24,1,9,1898,Autumn,30,9,1898,Autumn,During September all water had to be brought 4.5 miles to this parish [Highmore] from Henley.,British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKJ,UKJ1,UKJ14,Highmore,R,Water Resources,,Thames Water,Supply,Transfer
25,1,1,1899,Winter,31,12,1899,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,UKI,,,,R,Water Resources,,,Supply,Transfer
26,28,7,1899,Summer,28,7,1899,Summer,"President of the Local Government Board questioned in Parliament regarding metropolitan water transfers. States that multiple inter-company transfers made via new mains. The East London Company received water from the New River and Southwark and Vauxhall Companies which should ""be effectual to meet the needs of East London during the present summer""",HC Deb 28 July 1899 vol 75 cc 679-80,England,UKI,"UKI4, UKI5","UKI41, UKI53",East London Waterworks Company,R,Water Resources,,Thames Water,Supply,Transfer
27,5,10,1899,Autumn,25,10,1899,Autumn,"Rainfall observer at Romansleigh (Rectory), N. Devon, noted p[70]: ""Very little rain from 5th to the 25th. St. Rumon's Well, supplying the village, was dry for several weeks."" [ha 050, Mole trib. of Taw]",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKK,UKK4,UKK43,Romansleigh,I,Water Resources,,South West Water,Supply,
28,1,1,1904,Winter,31,12,1904,Winter,"Water supply problems reported in Sudbury and Gloucestershire, 'Water was scarce everywhere in the neighbourhood; in some villages it had to be fetched from a distance for drinking purposes, and in this place we were obliged to carry it in carts for the cattle...' Carting of water necessary in Tunbridge Wells area, 1904",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKK,UKK1,UKK13,Gloucestershire,IR,Water Resources,,Bristol Water,Supply,Transfer
29,1,1,1904,Winter,31,12,1904,Winter,"Water supply problems reported in Sudbury and Gloucestershire, 'Water was scarce everywhere in the neighbourhood; in some villages it had to be fetched from a distance for drinking purposes, and in this place we were obliged to carry it in carts for the cattle...' Carting of water necessary in Tunbridge Wells area, 1904",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ4,UKJ46,Tunbridge Wells,R,Water Resources,,South East Water,Supply,Transfer
30,1,1,1904,Winter,31,12,1904,Winter,"Water supply problems reported in Sudbury and Gloucestershire, 'Water was scarce everywhere in the neighbourhood; in some villages it had to be fetched from a distance for drinking purposes, and in this place we were obliged to carry it in carts for the cattle...' Carting of water necessary in Tunbridge Wells area, 1904",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKH,UKH3,UKH34,Sudbury,IR,Water Resources,,Affinity Water,Supply,Transfer
31,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ1,UKJ14,"Adderbury, River Cherwell",IS,Water Resources,,Thames Water,Supply,
32,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKJ,UKJ4,UKJ46,Tunbridge Wells,IS,Water Resources,,South East Water,Supply,
33,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKG,UKG1,UKG11,"Teme Valley, Herefordshire",IS,Water Resources,,Dwr Cymru Welsh Water,Supply,
34,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKL,ULK2,UKL24,Breconshire,IS,Water Resources,,Dee Valley Water,Supply,
35,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF3,UKF30,Willingham-By-Stow,IS,Water Resources,,Anglian Water,Supply,
36,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKH,UKH1,UKH14,Suffolk,IS,Water Resources,,Affinity Water,Supply,
37,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF1,UKF13,Derbyshire,IS,Water Resources,,South Staffordshire Water,Supply,
38,1,3,1904,Spring,31,11,1906,Autumn,"Mainly GW impact with reports of wells drying up and springs failing in 1904, summer 1905 and in 1906, such as in Tunbridge Wells, Adderbury (Oxfordshire - 'Great scarcity of water during the latter part of the year, many deep wells being quite dry'), Breconshire, Teme valley and Willingham-By-Stow (Lincolnshire). In 1905 failed springs and dried up ponds reported in Suffolk, Herefordshire (lowest spring flow for 35 years), springs failing in Derbyshire, some for the first time, also in Harrogate area and East Yorkshire Wolds, and Cherwell (Oxfordshire) in 1906",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKE,"UKE1, UKE2","UKE12, UKE22","Harrogate, East Riding of Yorkshire",IS,Water Resources,,Yorkshire Water,Supply,
39,1,8,1909,Summer,31,8,1909,Summer,"Some water supply problems, such as in August in 1909 in Leicester, quoting The Times, 'In consequence of the low state of the reservoirs of the borough, the Water Committee of the Leicester Corporation decided last evening to restrict the supply from 6 in the morning to 8 at night. The reservoirs have not been so low for some years.",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF2,UKF21,Leicester,RS,Water Resources,,Severn Trent Water,Demand,Rota cuts
40,23,8,1909,Summer,23,8,1909,Summer,"1909 August 23 Leicester, p[19]: Quoting The Times ""In consequence of the low state of the reservoirs of the borough, the Water Committee of the Leicester Corporation decided last evening to restrict the supply from 6 in the morning to 8 at night. The reservoirs have not been so low for some years""",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKF,UKF2,UKF21,Leicester,RS,Water Resources,,Severn Trent Water,Supply,Rota cuts
41,1,1,1911,Winter,31,12,1911,Winter,Springs in the Cirencester area were only full for last 10 days of December and a shortage of water was severely felt (River Churn),Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKK,UKK1,UKK13,River Churn,I,Water Resources,,Bristol Water,Supply,
42,1,8,1911,Summer,31,8,1911,Summer,"The [Ingoldsby, Lincolnshire] parish council, to prevent any waste of water, have decided to dole out water to the parishoners twice a day' in August (River Glen)",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF3,UKF30,River Glen,R,Water Resources,,Anglian Water,Demand,Water rationing
43,1,1,1913,Winter,31,12,1914,Winter,Restriction of water supply through decreasing spring yields and the resulting increased strain on water resources as Monkswood reservoir,"Durant, M. (2015) Description of groundwater droughts in the UK: 1890 to 2015. British Geological Survey Internal Report, OF/15/007. 52pp",England,UKK,UKK1,UKK12,Monkswood Reservoir,IR,Water Resources,,Bristol Water,Supply,
44,1,3,1913,Spring,31,11,1913,Autumn,"Water shortages (e.g. In Neath, Cerrig y Digion, North Wales, Bolton-by-Bowland, Yorkshire (failed completely) or consumers put on half rations)",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,"England, Wales",UKD,UKD4,UKD46,Bolton-by-Bowland,IR,Water Resources,,United Utilities,"Supply, Demand",Water rationing
45,1,3,1913,Spring,31,11,1913,Autumn,"Water shortages (e.g. In Neath, Cerrig y Digion, North Wales, Bolton-by-Bowland, Yorkshire (failed completely) or consumers put on half rations)",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,"England, Wales",UKL,UKL1,"UKL14, UKL17","Neath, Cerrig y Digion, North Wales",IR,Water Resources,,Dwr Cymru Welsh Water,"Supply, Demand",Water rationing
46,1,1,1920,Winter,31,12,1920,Winter,"1920 p75: ""Prior to 1920 ... various water undertakings in mid-Glamorgan drew much of their water from springs along the outcrop of the Rhondda No. 2 seam in the upper ends of the Llynfi, Garw, Ogwr Fawr and Ogwr Fach valleys. Extensive mining operations under this catchment area, however, gradually reduced the amount of water available, and with increasing population it was found that during periods of prolonged drought these springs failed to provide an adequate supply for the district..."" [ha 057, 058]",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKL,UKL2,UKL22,Glamorgan,DP,Water Resources,,Dwr Cymru Welsh Water,Supply,
47,1,1,1921,Winter,31,12,1921,Winter,Springs failed to provide adequate supply for mid Glamorgan,Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,Wales,UKL,UKL2,UKL22,Glamorgan,I,Water Resources,,Dwr Cymru Welsh Water,Supply,
48,1,1,1921,Winter,31,12,1921,Winter,Stratford had to rely on one well for town water,Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKI,UKI4,UKI41,Stratford,I,Water Resources,,Essex & Suffolk Water,Supply,
49,1,1,1921,Winter,31,12,1921,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,,,,,R,Water Resources,,,Supply,"Transfer, Pressure reductions"
50,1,1,1921,Winter,31,12,1921,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,,,,,R,Water Resources,,,Supply,"Water rationing, Publicity"
51,1,1,1921,Winter,31,12,1921,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,,,,,R,Water Resources,,,Supply,System
52,1,1,1921,Winter,31,12,1921,Winter,"Stratford brewery of Flower and Sons [p 74]: ""...artesian wells were sunk in 1895 and 1899 ( a third one was added in 1939) to provide the water needed for the steadily expanding business. Incidentally, one of these Brewery wells was connected to the town supply in the drought of 1921 in order to save Stratford from a very serious water shortage."" ",British Hydrological Society. BHS Chronology of British Hydrological Events. ,England,UKG,UKG1,UKG13,Stratford-upon-Avon,R,Water Resources,,Anglian Water,Supply,Transfer
53,1,1,1929,Winter,31,12,1929,Winter,"Anglia and the south east: Thorney Drainage Board, Lincolnshire, records great shortage of water",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF3,UKF30,Thorney Drainage Board,I,Water Resources,,Anglian Water,Supply,
54,1,6,1929,Summer,30,11,1929,Autumn,"North West: Woodhead Reservoir of Manchester Corporation Waterworks, at the head of the series of Longdendale valley reservoirs, 'In July 1929, that reservoir was practically empty, while by the end of November the water was only 7 feet below top water level'",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKD,UKD3,UKD35,Longdendale reservoirs,S,Water Resources,,United Utilities,Supply,
55,1,12,1929,Winter,31,12,1929,Winter,Hosepipe ban in London,"Taylor, Vanessa and Trentmann, Frank, ‘Hosepipes, history and a sustainable future,’ from http://historyandpolicy.org/policy-papers, 17 July 2008. Reproduced by permission.",England,UKI,,,London,IR,Water Resources,,Thames Water,Demand,Hosepipe ban
56,1,1,1933,Winter,31,12,1934,Winter,"Serious water shortage in many districts, especially in rural areas of Essex",Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKH,,,,I,Water Resources,,,Supply,
57,1,1,1933,Winter,31,12,1934,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,,,,,R,Water Resources,,,Demand,Publicity
58,1,1,1933,Winter,31,12,1934,Winter,,"Taylor, V., Chappells, H., Medd, W. & Trentmann, F. (2009) Drought is normal: the socio-technical evolution of drought and water demand in England and Wales, 1893-2006, Journal of Historical Geography, 35, 568-591",England,,,,,IR,Water Resources,,,Supply,System
59,1,1,1933,Winter,31,12,1934,Winter,"Downing (2004) highlights that the 1933-34 drought demonstrated the need for a national water resources survey, an issue that had been discussed prior to this period. This led to groundwater being discussed more widely with policy makers, through the Inland Water Survey Committee, set up in 1935","Durant, M. (2015) Description of groundwater droughts in the UK: 1890 to 2015. British Geological Survey Internal Report, OF/15/007. 52pp",England,,,,,R,Water Resources,,,Supply,System
60,1,1,1933,Winter,31,12,1933,Winter,Bristol water demand decreased by 25% as a result of publicity campaign to reduce consumption,HC Deb 22 February 1934 vol 286 cc525-603,England,UKK,UK1,UK11,Bristol,RS,Water Resources,,Bristol Water,Demand,Publicity
61,1,1,1933,Winter,31,12,1933,Winter,"Bristol experienced ""special difficulties"". Storage was approximately 28% full, resulting in publicity campaigns to reduce demand.",HC Deb 22 February 1934 vol 286 cc525-603,England,UKK,UK1,UK11,Bristol,IS,Water Resources,,Bristol Water,Demand,Publicity
62,30,8,1933,Summer,30,8,1933,Summer,,The Telegraph (2018) Heatwaves and droughts in Britain over the years in pictures [online] Available at: https://www.telegraph.co.uk/news/picturegalleries/uknews/8555125/Heatwaves-and-droughts-in-Britain-over-the-years-in-pictures.html?image=8,England,UKF,UKF3,UKF30,Faldingworth,R,Water Resources,,Anglian Water,Supply,System
63,1,10,1933,Autumn,31,10,1933,Autumn,Low reservoir inflows and reservoir levels uncovering bridge in October 1933 seen only on 1-2 occasions since first fill in 1914 (Derbyshire Derwent headwaters),Environment Agency (2006) The impact of climate change on severe droughts - Major droughts in England and Wales from 1800 and evidence of impact. SC040068/SR1,England,UKF,UKF1,UKF13,Derwent reservoir,S,Water Resources,,South Staffordshire Water,Supply,
64,6,12,1933,Winter,6,12,1933,Winter,Rural areas of Scotland experienced partial or total failure of water supply during summer 1933,HC Deb 06 December 1933 vol 283 c1483,Scotland,UKM,,,,I,Water Resources,,,Supply,
65,6,12,1933,Winter,6,12,1933,Winter,Government grant made available for improvement of water supplies in rural Scotland,HC Deb 06 December 1933 vol 283 c1483,Scotland,UKM,,,,R,Water Resources,,,Supply,System
